target_id,regression_order,role,quantity,value,unit,species,solvent,T_K,P_bar,composition_basis,composition_value,basis,source_classification,source_id,source_locator,source_row,underlying_reference,extraction,source_sha256,uncertainty_value,uncertainty_unit,uncertainty_meaning,tracer_status
figiel2025-s5-Hp-lit-01,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-1094.5,kJ/mol,H+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",H+ literature value 1,SI ref 9,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,later_capability_gate
figiel2025-s5-Hp-reported-average,a,reported_average_target,single_ion_solvation_gibbs_energy,-1094.5,kJ/mol,H+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10, reported Delta G_i infinity,lit column",H+ reported average,Figiel-reported average of the listed SI values; H+ uses SI ref 9 only,Transcribed as reported; retained separately and not replaced by a locally recomputed mean.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported for the SI Table S5 average.,later_capability_gate
figiel2025-s5-Lip-lit-01,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-519.4,kJ/mol,Li+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Li+ literature value 1,SI ref 9,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Lip-lit-02,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-519.0,kJ/mol,Li+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Li+ literature value 2,SI ref 2,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Lip-lit-03,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-458.1,kJ/mol,Li+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Li+ literature value 3,SI ref 12,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Lip-lit-04,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-457.1,kJ/mol,Li+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Li+ literature value 4,SI ref 13,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Lip-lit-05,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-477.5,kJ/mol,Li+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Li+ literature value 5,SI ref 14,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Lip-reported-average,a,reported_average_target,single_ion_solvation_gibbs_energy,-486.2,kJ/mol,Li+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10, reported Delta G_i infinity,lit column",Li+ reported average,Figiel-reported average of the listed SI values; H+ uses SI ref 9 only,Transcribed as reported; retained separately and not replaced by a locally recomputed mean.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported for the SI Table S5 average.,first_tracer_support
figiel2025-s5-Nap-lit-01,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-413.8,kJ/mol,Na+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Na+ literature value 1,SI ref 9,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Nap-lit-02,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-414.0,kJ/mol,Na+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Na+ literature value 2,SI ref 2,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
