row_id,component_id,role,T_K,p_sat_Pa,p_sat_expanded_uncertainty_Pa,rho_sat_liq_kg_m3,rho_sat_liq_expanded_uncertainty_kg_m3,rho_sat_vap_kg_m3,rho_sat_vap_expanded_uncertainty_kg_m3
glos2004-propane-sat-110-k,propane,stress,110,0.6,0.6,707.968,0.133,,
glos2004-propane-sat-120-k,propane,held_out,120,3.2,1.6,697.825,0.131,,
glos2004-propane-sat-130-k,propane,held_out,130,18,1.1,687.713,0.13,,
glos2004-propane-sat-140-k,propane,held_out,140,78,3.1,677.601,0.128,,
glos2004-propane-sat-150-k,propane,training,150,283,5,667.462,0.127,,
glos2004-propane-sat-160-k,propane,held_out,160,851,9,657.272,0.125,,
glos2004-propane-sat-170-k,propane,held_out,170,2205,10,647.004,0.124,,
glos2004-propane-sat-180-k,propane,held_out,180,5068,11,636.628,0.122,,
glos2004-propane-sat-190-k,propane,held_out,190,10547,16,626.123,0.121,,
glos2004-propane-sat-200-k,propane,held_out,200,20193,19,615.456,0.119,,
glos2004-propane-sat-210-k,propane,training,210,36032,23,604.594,0.118,,
glos2004-propane-sat-220-k,propane,held_out,220,60574,19,593.499,0.117,,
glos2004-propane-sat-230-k,propane,held_out,230,96775,24,582.132,0.116,2.3148,0.0051
glos2004-propane-sat-240-k,propane,held_out,240,148000,33,570.444,0.115,3.4379,0.0063
glos2004-propane-sat-250-k,propane,held_out,250,217964,37,558.383,0.114,4.9398,0.0081
glos2004-propane-sat-260-k,propane,held_out,260,310685,50,545.88,0.113,6.9029,0.0098
glos2004-propane-sat-270-k,propane,training,270,430425,65,532.853,0.113,9.423,0.0125
glos2004-propane-sat-280-k,propane,held_out,280,581684,70,519.198,0.113,12.6155,0.0158
glos2004-propane-sat-290-k,propane,held_out,290,769143,77,504.796,0.114,16.6231,0.0201
glos2004-propane-sat-300-k,propane,held_out,300,997682,90,489.465,0.115,21.6299,0.0257
glos2004-propane-sat-310-k,propane,held_out,310,1272430,100,472.968,0.118,27.8854,0.0331
glos2004-propane-sat-320-k,propane,held_out,320,1598870,110,454.951,0.124,35.7463,0.043
glos2004-propane-sat-330-k,propane,training,330,1983000,140,434.869,0.132,45.7626,0.057
glos2004-propane-sat-340-k,propane,stress,340,2431450,170,411.772,0.138,58.878,0.0666
