ethanol_mass_percent,molality_mol_kg,gamma_pm_m_literature,gamma_pm_m_model,error,abs_error,parameter_fingerprint
20,0.004014,0.919,0.9194857954895184,0.00048579548951832585,0.00048579548951832585,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.004499,0.918,0.9153711321282838,-0.002628867871716234,0.002628867871716234,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.005,0.913,0.9114055856824251,-0.0015944143175748993,0.0015944143175748993,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.006003,0.906,0.9041731827010528,-0.001826817298947181,0.001826817298947181,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.007006,0.894,0.8976904204284794,0.003690420428479335,0.003690420428479335,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.009002,0.883,0.8864322212541812,0.003432221254181189,0.003432221254181189,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.0103,0.875,0.8799985478667602,0.004998547866760239,0.004998547866760239,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.01894,0.844,0.8475386699882954,0.0035386699882954398,0.0035386699882954398,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.02999,0.818,0.8195696249807438,0.0015696249807438667,0.0015696249807438667,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.04005,0.788,0.80063187644994,0.012631876449940016,0.012631876449940016,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.04997,0.776,0.7855748332435222,0.009574833243522152,0.009574833243522152,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.06002,0.759,0.7728109790543986,0.013810979054398542,0.013810979054398542,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.07005,0.753,0.7618923654943216,0.008892365494321597,0.008892365494321597,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.08302,0.731,0.7497819622594752,0.01878196225947526,0.01878196225947526,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.08994,0.726,0.7440526365537347,0.01805263655373468,0.01805263655373468,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.09987,0.723,0.7365529068672622,0.013552906867262182,0.013552906867262182,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.1005,0.73,0.7361027015916918,0.006102701591691795,0.006102701591691795,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.1999,0.668,0.6878834272692437,0.019883427269243636,0.019883427269243636,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.3023,0.646,0.6610443187334141,0.015044318733414053,0.015044318733414053,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.3997,0.617,0.6443669647176994,0.027366964717699394,0.027366964717699394,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
20,0.4999,0.61,0.6319557396451205,0.021955739645120542,0.021955739645120542,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
