salt,observable,molality_mol_kg,literature_value,model_value,residual,relative_abs_error_percent,source_subset_status,exact_table8_row,artifact_status,solver_status,numerical_status,physical_status,blocker,parameter_fingerprint
LiCl,osmotic_coefficient,0.001,0.988,,,,UNRESOLVED_WRONG_SOURCE,false,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,installed Provider exposes no public osmotic-coefficient observable,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,gamma_pm_m,0.001,0.965,0.9650456966794034,4.569667940346189e-05,0.00473540719206859,EXACT_HAMER_WU_SUBSET,true,EVALUATED,NOT_ADJUDICATED_PUBLIC_API_EXPOSES_NO_POINT_SOLVER_DIAGNOSTIC,FINITE_OUTPUT_ONLY_NO_CONVERGENCE_CERTIFICATE,PASS_WITH_REPORTED_DOMAIN_PRESSURE_EXTRAPOLATION,,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,osmotic_coefficient,0.002,0.984,,,,UNRESOLVED_WRONG_SOURCE,false,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,installed Provider exposes no public osmotic-coefficient observable,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,gamma_pm_m,0.002,0.952,0.9518748929952576,-0.00012510700474233083,0.013141492094782652,EXACT_HAMER_WU_SUBSET,true,EVALUATED,NOT_ADJUDICATED_PUBLIC_API_EXPOSES_NO_POINT_SOLVER_DIAGNOSTIC,FINITE_OUTPUT_ONLY_NO_CONVERGENCE_CERTIFICATE,PASS_WITH_REPORTED_DOMAIN_PRESSURE_EXTRAPOLATION,,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,osmotic_coefficient,0.005,0.976,,,,UNRESOLVED_WRONG_SOURCE,false,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,installed Provider exposes no public osmotic-coefficient observable,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,gamma_pm_m,0.005,0.928,0.9277852584587085,-0.0002147415412915299,0.02314025229434589,EXACT_HAMER_WU_SUBSET,true,EVALUATED,NOT_ADJUDICATED_PUBLIC_API_EXPOSES_NO_POINT_SOLVER_DIAGNOSTIC,FINITE_OUTPUT_ONLY_NO_CONVERGENCE_CERTIFICATE,PASS_WITH_REPORTED_DOMAIN_PRESSURE_EXTRAPOLATION,,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,osmotic_coefficient,0.01,0.969,,,,UNRESOLVED_WRONG_SOURCE,false,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,installed Provider exposes no public osmotic-coefficient observable,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,gamma_pm_m,0.01,0.904,0.9035922942307011,-0.0004077057692989383,0.0451001957189091,EXACT_HAMER_WU_SUBSET,true,EVALUATED,NOT_ADJUDICATED_PUBLIC_API_EXPOSES_NO_POINT_SOLVER_DIAGNOSTIC,FINITE_OUTPUT_ONLY_NO_CONVERGENCE_CERTIFICATE,PASS_WITH_REPORTED_DOMAIN_PRESSURE_EXTRAPOLATION,,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,osmotic_coefficient,0.02,0.96,,,,UNRESOLVED_WRONG_SOURCE,false,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,installed Provider exposes no public osmotic-coefficient observable,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,gamma_pm_m,0.02,0.874,0.8740653402451948,6.534024519477821e-05,0.007476000594368216,EXACT_HAMER_WU_SUBSET,true,EVALUATED,NOT_ADJUDICATED_PUBLIC_API_EXPOSES_NO_POINT_SOLVER_DIAGNOSTIC,FINITE_OUTPUT_ONLY_NO_CONVERGENCE_CERTIFICATE,PASS_WITH_REPORTED_DOMAIN_PRESSURE_EXTRAPOLATION,,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
