row_id,pathway,T_K,P_Pa,input_beta,feed_z_methane,source_x_methane,source_y_methane,uc_x_methane,uc_y_methane,x_comparison_allowance,y_comparison_allowance,model_x_methane,model_y_methane,returned_liquid_fraction,returned_vapor_fraction,x_signed_error,y_signed_error,x_normalized_error,y_normalized_error,solver_status,numerical_status,local_physical_status,composition_agreement_status,row_admission,solver_message,iterations,material_balance_max_abs,recomputed_material_balance_max_abs,pressure_stationarity_max_relative,chemical_potential_max_abs,kkt_stationarity_max_abs,phase_density_distance,liquid_pressure_pa,vapor_pressure_pa,liquid_molar_density_mol_m3,vapor_molar_density_mol_m3,total_free_energy_over_rt,parameter_fingerprint,exact_derivatives,globality_certificate,failure_reason,provider_wheel_sha256,equilibrium_wheel_sha256,source_csv_sha256,tolerance_sha256
may2015-ch4-c2h6-001,isochoric,243.58,3949000,0.5,0.48815,0.3099,0.6664,0.0037,0.0038,0.0111,0.0114,0.3025223259589743,0.6703563353120439,0.49534934421235416,0.5046506557876459,-0.007377674041025684,0.003956335312043868,-0.6646553190113228,0.34704695719683054,PASS,PASS,PASS,PASS,PASS,solve_succeeded,9,1.1102230246251565e-16,0.0,1.452287772722744e-12,6.757794324130373e-11,7.993605777301127e-15,0.815374400659896,3949000.000000537,3949000.000005735,15117.371197021954,2791.053717697005,6.46180265452249,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,True,False,,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,9f3adbc6f5539ae14cbff15b14a9eccf289ce238b316f78a81a25c1b91b3cc49,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016
may2015-ch4-c2h6-002,isochoric,203.22,2124000,0.5,0.616,0.3653,0.8667,0.0064,0.0023,0.0192,0.0069,0.3573301730935638,0.8757188310595452,0.5010117931179523,0.49898820688204765,-0.007969826906436217,0.009018831059545152,-0.41509515137688635,1.3070769651514713,PASS,PASS,PASS,FAIL,FAIL,solve_succeeded,8,1.1102230246251565e-16,1.1102230246251565e-16,1.7473260168750856e-12,2.367199769537365e-10,3.552713678800501e-15,0.9145039357016633,2123999.999997834,2124000.0000037113,18057.202843810708,1543.8197753825489,6.001907442298064,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,True,False,,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,9f3adbc6f5539ae14cbff15b14a9eccf289ce238b316f78a81a25c1b91b3cc49,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016
may2015-ch4-c2h6-003,isochoric,213.39,2517000,0.5,0.58765,0.3464,0.8289,0.0052,0.0025,0.0156,0.0075,0.33874426538506985,0.8331629472849357,0.4965689126905992,0.5034310873094008,-0.007655734614930132,0.004262947284935703,-0.4907522189057777,0.5683929713247604,PASS,PASS,PASS,PASS,PASS,solve_succeeded,8,0.0,0.0,1.6546978759159395e-12,1.6110224265730722e-10,1.7763568394002505e-15,0.8970759193276137,2516999.999998218,2517000.000004165,17392.54868022704,1790.1120834620936,6.1380049679295245,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,True,False,,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,9f3adbc6f5539ae14cbff15b14a9eccf289ce238b316f78a81a25c1b91b3cc49,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016
may2015-ch4-c2h6-004,isochoric,223.50,2945000,0.5,0.556,0.3315,0.7805,0.0045,0.0028,0.0135,0.0084,0.32317864268614477,0.7841164634166298,0.4948963898321802,0.5051036101678199,-0.008321357313855249,0.0036164634166298004,-0.6163968380633518,0.4305313591225953,PASS,PASS,PASS,PASS,PASS,solve_succeeded,8,1.1102230246251565e-16,1.1102230246251565e-16,1.580085991193969e-12,1.1246026332401016e-10,2.6645352591003757e-15,0.8762640906347576,2944999.9999987893,2945000.0000046534,16697.344578841956,2066.061115447811,6.2554931691648115,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,True,False,,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,9f3adbc6f5539ae14cbff15b14a9eccf289ce238b316f78a81a25c1b91b3cc49,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016
may2015-ch4-c2h6-005,isochoric,233.56,3417000,0.5,0.52165,0.3188,0.7245,0.0039,0.0025,0.0117,0.0075,0.31080994972767995,0.7294400620869322,0.4963571801271066,0.5036428198728934,-0.007990050272320026,0.0049400620869322065,-0.6829102796854724,0.6586749449242942,PASS,PASS,PASS,PASS,PASS,solve_succeeded,7,0.0,0.0,1.5164995039978117e-12,8.028422371353372e-11,4.440892098500626e-15,0.8502111244493114,3416999.9999996223,3417000.000005182,15950.277932070268,2389.174196165769,6.360594880068909,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,True,False,,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,9f3adbc6f5539ae14cbff15b14a9eccf289ce238b316f78a81a25c1b91b3cc49,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016
may2015-ch4-c2h6-006,isothermal,243.60,3942000,0.5,0.4871,0.3082,0.6660,0.0037,0.0031,0.0111,0.0093,0.301661024259671,0.6697537149735774,0.49621663124938753,0.5037833687506124,-0.006538975740328967,0.003753714973577349,-0.5890969135431502,0.4036252659760591,PASS,PASS,PASS,PASS,PASS,solve_succeeded,9,1.1102230246251565e-16,0.0,1.4549847985209092e-12,6.758060777656283e-11,4.440892098500626e-15,0.8158409761940405,3942000.0000007153,3942000.0000057356,15118.316528399813,2784.1744134596124,6.460005718047403,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,True,False,,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,9f3adbc6f5539ae14cbff15b14a9eccf289ce238b316f78a81a25c1b91b3cc49,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016
may2015-ch4-c2h6-007,isothermal,243.60,4831000,0.5,0.55095,0.3973,0.7046,0.0039,0.0032,0.0117,0.0096,0.39495233121138723,0.7099430076350133,0.5047546468365496,0.49524535316345053,-0.0023476687886127556,0.005343007635013275,-0.20065545201818424,0.5565632953138828,PASS,PASS,PASS,PASS,PASS,solve_succeeded,8,1.1102230246251565e-16,1.1102230246251565e-16,1.3103290291164164e-12,6.703704258370635e-11,8.881784197001252e-16,0.7457673939277302,4831000.0000013495,4831000.00000633,14703.232849195692,3738.041204938427,6.626634568934699,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,True,False,,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,9f3adbc6f5539ae14cbff15b14a9eccf289ce238b316f78a81a25c1b91b3cc49,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016
may2015-ch4-c2h6-008,isothermal,243.60,5395000,0.5,0.5882499999999999,0.4553,0.7212,0.0040,0.0038,0.0120,0.0114,0.45549719606843764,0.7246660123937424,0.5068046672571331,0.49319533274286687,0.00019719606843765503,0.003466012393742446,0.01643300570313792,0.3040361748896882,PASS,PASS,PASS,PASS,PASS,solve_succeeded,9,0.0,0.0,1.2206453985368023e-12,6.800959795327799e-11,2.6645352591003757e-15,0.6848281630024994,5395000.000001822,5395000.000006585,14266.360798424275,4496.355140108508,6.727767479157345,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,True,False,,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,9f3adbc6f5539ae14cbff15b14a9eccf289ce238b316f78a81a25c1b91b3cc49,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016
may2015-ch4-c2h6-009,isothermal,243.61,6080000,0.5,0.6247499999999999,0.5273,0.7222,0.0042,0.0024,0.0126,0.0072,0.5335831139377012,0.7312061853353675,0.5386829816097312,0.4613170183902689,0.006283113937701201,0.009006185335367567,0.49865983632549216,1.2508590743566066,PASS,PASS,PASS,FAIL,FAIL,solve_succeeded,10,0.0,0.0,1.0894023274120531e-12,7.426859127690477e-11,3.4638958368304884e-14,0.5717519744865474,6080000.000002985,6080000.000006624,13384.935109556678,5732.072032293336,6.835548771438717,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,True,False,,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,9f3adbc6f5539ae14cbff15b14a9eccf289ce238b316f78a81a25c1b91b3cc49,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016
may2015-ch4-c2h6-010,isothermal,243.61,6469000,0.5,0.6471,0.5673,0.7269,0.0049,0.0031,0.0147,0.0093,0.5844487830364286,0.7261790832956455,0.5579546727200476,0.4420453272799523,0.017148783036428528,-0.0007209167043544795,1.1665838800291515,-0.07751792519940641,PASS,PASS,PASS,FAIL,FAIL,solve_succeeded,11,0.0,0.0,9.333381127271831e-13,7.179234984278082e-11,1.2789769243681803e-13,0.45812712462410005,6469000.000002846,6469000.000006038,12510.720146866002,6779.219899005482,6.899229431625957,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,True,False,,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,9f3adbc6f5539ae14cbff15b14a9eccf289ce238b316f78a81a25c1b91b3cc49,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016
