audit_case_id,grid_index,x_methane,branch,status,molar_density_mol_m3,residual_helmholtz,g_bar,support_line_g_bar,gap_above_support,failure_reason
may2015-row-001-midpoint,0,1e-08,single,accepted,15664.997764773569,-2.565832286577008,6.217826250405149,,,
may2015-row-001-midpoint,0,1e-08,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,0,1e-08,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,1,0.00100000998,single,accepted,15665.176976905259,-2.5636188837181875,6.212142539644511,,,
may2015-row-001-midpoint,1,0.00100000998,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,1,0.00100000998,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,2,0.00200000996,single,accepted,15665.348513798876,-2.5614056043576823,6.207845453458993,,,
may2015-row-001-midpoint,2,0.00200000996,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,2,0.00200000996,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,3,0.0030000099400000002,single,accepted,15665.512342625665,-2.5591924475700596,6.204072061075323,,,
may2015-row-001-midpoint,3,0.0030000099400000002,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,3,0.0030000099400000002,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,4,0.00400000992,single,accepted,15665.668430385325,-2.5569794124227063,6.2006389142308596,,,
may2015-row-001-midpoint,4,0.00400000992,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,4,0.00400000992,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,5,0.0050000099000000004,single,accepted,15665.816743904637,-2.554766497975711,6.197458887029471,,,
may2015-row-001-midpoint,5,0.0050000099000000004,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,5,0.0050000099000000004,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,6,0.0060000098800000005,single,accepted,15665.957249824147,-2.5525537032811725,6.1944806634088145,,,
may2015-row-001-midpoint,6,0.0060000098800000005,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,6,0.0060000098800000005,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,7,0.007000009860000001,single,accepted,15666.089914658425,-2.5503410273865494,6.1916703354376885,,,
may2015-row-001-midpoint,7,0.007000009860000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,7,0.007000009860000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,8,0.00800000984,single,accepted,15666.21470467178,-2.548128469327731,6.189003803380714,,,
may2015-row-001-midpoint,8,0.00800000984,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,8,0.00800000984,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,9,0.00900000982,single,accepted,15666.331586000135,-2.545916028135853,6.186463047897974,,,
may2015-row-001-midpoint,9,0.00900000982,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,9,0.00900000982,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,10,0.010000009800000001,single,accepted,15666.440524579793,-2.543703702833322,6.184034082421414,,,
may2015-row-001-midpoint,10,0.010000009800000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,10,0.010000009800000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,11,0.011000009780000002,single,accepted,15666.541486201088,-2.5414914924368253,6.181705733539275,,,
may2015-row-001-midpoint,11,0.011000009780000002,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,11,0.011000009780000002,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,12,0.012000009760000001,single,accepted,15666.634436421764,-2.5392793959524953,6.179468868755929,,,
may2015-row-001-midpoint,12,0.012000009760000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,12,0.012000009760000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,13,0.01300000974,single,accepted,15666.719340651176,-2.537067412380618,6.177315883508719,,,
may2015-row-001-midpoint,13,0.01300000974,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,13,0.01300000974,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,14,0.014000009720000001,single,accepted,15666.796164106294,-2.5348555407131963,6.175240346969207,,,
may2015-row-001-midpoint,14,0.014000009720000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,14,0.014000009720000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,15,0.015000009700000002,single,accepted,15666.86487181895,-2.532643779934344,6.173236749556884,,,
may2015-row-001-midpoint,15,0.015000009700000002,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,15,0.015000009700000002,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,16,0.016000009680000003,single,accepted,15666.925428634495,-2.5304321290202263,6.171300318075527,,,
may2015-row-001-midpoint,16,0.016000009680000003,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,16,0.016000009680000003,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,17,0.017000009660000003,single,accepted,15666.977799210592,-2.5282205869390033,6.169426877240077,,,
may2015-row-001-midpoint,17,0.017000009660000003,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,17,0.017000009660000003,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,18,0.018000009640000002,single,accepted,15667.021948015838,-2.5260091526507567,6.1676127438933595,,,
may2015-row-001-midpoint,18,0.018000009640000002,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,18,0.018000009640000002,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,19,0.019000009620000004,single,accepted,15667.057839328463,-2.5237978251074265,6.165854644799044,,,
may2015-row-001-midpoint,19,0.019000009620000004,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,19,0.019000009620000004,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,20,0.020000009600000004,single,accepted,15667.085437234944,-2.521586603252728,6.164149651786451,,,
may2015-row-001-midpoint,20,0.020000009600000004,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,20,0.020000009600000004,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,21,0.021000009580000003,single,accepted,15667.104705628757,-2.519375486022124,6.162495129896679,,,
may2015-row-001-midpoint,21,0.021000009580000003,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,21,0.021000009580000003,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,22,0.022000009560000006,single,accepted,15667.115608208846,-2.5171644723426967,6.160888695426532,,,
may2015-row-001-midpoint,22,0.022000009560000006,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,22,0.022000009560000006,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,23,0.023000009540000005,single,accepted,15667.118108478395,-2.5149535611331273,6.159328181615279,,,
may2015-row-001-midpoint,23,0.023000009540000005,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,23,0.023000009540000005,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,24,0.024000009520000004,single,accepted,15667.11216974344,-2.512742751303613,6.157811610309374,,,
may2015-row-001-midpoint,24,0.024000009520000004,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,24,0.024000009520000004,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,25,0.025000009500000003,single,accepted,15667.097755111283,-2.5105320417557753,6.156337168357188,,,
may2015-row-001-midpoint,25,0.025000009500000003,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
