component_id,row_id,partition,temperature_k,observed_pressure_pa,start_predicted_pressure_pa,fitted_predicted_pressure_pa,start_pressure_relative_error,fitted_pressure_relative_error,observed_liquid_density_kg_m3,start_predicted_liquid_density_kg_m3,fitted_predicted_liquid_density_kg_m3,start_liquid_density_relative_error,fitted_liquid_density_relative_error,reporting_solver_status,reporting_physical_status,provider_parameter_fingerprint,fitted_parameter_sha256,provider_wheel_sha256,regression_wheel_sha256
methane,nist-methane-sat-100-k,held_out,100.0,34375.892,,34626.07915160773,,0.007277982826095972,438.88524,,436.84483289550474,,-0.004649067497679514,PASS,PASS,sha256:5f836aa84935df70be2e5cffae51b178a7b797c2cee036e9ff47d8097ca94bbf,32434db0c35848223ca3c72e70b454e96a28d48ccf6bb3c0a68056be5ba0767a,f92f79c8d6f614660e5c201b7061c9b02b5cd1a25a4ed8c8fee0b59adaabf2bf,e4bf7ec673a9e6f5b70ce1ef39d9f28a73c709cf38974019c09790cc4f9bfa49
methane,nist-methane-sat-110-k,training,110.0,88130.038,,88224.60866583801,,0.0010730809606369137,424.77725,,423.3969791365449,,-0.0032493992167778587,PASS,PASS,sha256:5f836aa84935df70be2e5cffae51b178a7b797c2cee036e9ff47d8097ca94bbf,32434db0c35848223ca3c72e70b454e96a28d48ccf6bb3c0a68056be5ba0767a,f92f79c8d6f614660e5c201b7061c9b02b5cd1a25a4ed8c8fee0b59adaabf2bf,e4bf7ec673a9e6f5b70ce1ef39d9f28a73c709cf38974019c09790cc4f9bfa49
methane,nist-methane-sat-120-k,held_out,120.0,191430.08,,191083.41254773695,,-0.0018109351062436721,409.90234,,409.3407614313209,,-0.0013700301605476743,PASS,PASS,sha256:5f836aa84935df70be2e5cffae51b178a7b797c2cee036e9ff47d8097ca94bbf,32434db0c35848223ca3c72e70b454e96a28d48ccf6bb3c0a68056be5ba0767a,f92f79c8d6f614660e5c201b7061c9b02b5cd1a25a4ed8c8fee0b59adaabf2bf,e4bf7ec673a9e6f5b70ce1ef39d9f28a73c709cf38974019c09790cc4f9bfa49
methane,nist-methane-sat-130-k,training,130.0,367319.94,,366384.5067925305,,-0.002546644234640588,394.03734,,394.34823157350235,,0.0007889901335299196,PASS,PASS,sha256:5f836aa84935df70be2e5cffae51b178a7b797c2cee036e9ff47d8097ca94bbf,32434db0c35848223ca3c72e70b454e96a28d48ccf6bb3c0a68056be5ba0767a,f92f79c8d6f614660e5c201b7061c9b02b5cd1a25a4ed8c8fee0b59adaabf2bf,e4bf7ec673a9e6f5b70ce1ef39d9f28a73c709cf38974019c09790cc4f9bfa49
methane,nist-methane-sat-140-k,held_out,140.0,641181.43,,639981.9267634666,,-0.0018707703941667365,376.86505,,377.95195367291694,,0.0028840659883874785,PASS,PASS,sha256:5f836aa84935df70be2e5cffae51b178a7b797c2cee036e9ff47d8097ca94bbf,32434db0c35848223ca3c72e70b454e96a28d48ccf6bb3c0a68056be5ba0767a,f92f79c8d6f614660e5c201b7061c9b02b5cd1a25a4ed8c8fee0b59adaabf2bf,e4bf7ec673a9e6f5b70ce1ef39d9f28a73c709cf38974019c09790cc4f9bfa49
methane,nist-methane-sat-150-k,training,150.0,1039961.3,,1039603.4624909018,,-0.000344087331998056,357.89846,,359.43578939218077,,0.0042954344988820736,PASS,PASS,sha256:5f836aa84935df70be2e5cffae51b178a7b797c2cee036e9ff47d8097ca94bbf,32434db0c35848223ca3c72e70b454e96a28d48ccf6bb3c0a68056be5ba0767a,f92f79c8d6f614660e5c201b7061c9b02b5cd1a25a4ed8c8fee0b59adaabf2bf,e4bf7ec673a9e6f5b70ce1ef39d9f28a73c709cf38974019c09790cc4f9bfa49
methane,nist-methane-sat-160-k,held_out,160.0,1592078.0,,1594405.452356535,,0.0014618959350829609,336.31495,,337.5806133970321,,0.00376332778852705,PASS,PASS,sha256:5f836aa84935df70be2e5cffae51b178a7b797c2cee036e9ff47d8097ca94bbf,32434db0c35848223ca3c72e70b454e96a28d48ccf6bb3c0a68056be5ba0767a,f92f79c8d6f614660e5c201b7061c9b02b5cd1a25a4ed8c8fee0b59adaabf2bf,e4bf7ec673a9e6f5b70ce1ef39d9f28a73c709cf38974019c09790cc4f9bfa49
methane,nist-methane-sat-170-k,training,170.0,2328348.8,,2334648.4404434026,,0.0027056257393234247,310.50203,,309.96652881184707,,-0.00172463023237858,PASS,PASS,sha256:5f836aa84935df70be2e5cffae51b178a7b797c2cee036e9ff47d8097ca94bbf,32434db0c35848223ca3c72e70b454e96a28d48ccf6bb3c0a68056be5ba0767a,f92f79c8d6f614660e5c201b7061c9b02b5cd1a25a4ed8c8fee0b59adaabf2bf,e4bf7ec673a9e6f5b70ce1ef39d9f28a73c709cf38974019c09790cc4f9bfa49
methane,nist-methane-sat-180-k,held_out,180.0,3285180.7,,3290375.174877589,,0.0015811839140504253,276.2285,,270.4239126820564,,-0.021013716245584985,PASS,PASS,sha256:5f836aa84935df70be2e5cffae51b178a7b797c2cee036e9ff47d8097ca94bbf,32434db0c35848223ca3c72e70b454e96a28d48ccf6bb3c0a68056be5ba0767a,f92f79c8d6f614660e5c201b7061c9b02b5cd1a25a4ed8c8fee0b59adaabf2bf,e4bf7ec673a9e6f5b70ce1ef39d9f28a73c709cf38974019c09790cc4f9bfa49
ethane,nist-ethane-sat-100-k,stress,100.0,11.080787,,1.0,,-0.9097537025122855,640.94852,,640.965355740438,,2.6266915224259947e-05,PASS,FAIL,sha256:288fbcaa1304881c16f64c3a784eeed19b75c58cca4558f92a21268e5e91258a,0105f5a9e78828e021e06d2a31e332cd78d0a6f8a7afd33732427255feba7099,f92f79c8d6f614660e5c201b7061c9b02b5cd1a25a4ed8c8fee0b59adaabf2bf,e4bf7ec673a9e6f5b70ce1ef39d9f28a73c709cf38974019c09790cc4f9bfa49
